x,y
-85.59135081,38.23500826
-85.59132197,38.23500517
-85.59128526,38.23499642
-85.59124593,38.23498509
-85.5912066,38.23497119
-85.59118956,38.23495317
-85.59118169,38.23492897
-85.59118956,38.23490323
-85.59120136,38.234878
-85.59121971,38.23485689
-85.59124462,38.23483732
-85.59127871,38.23482084
-85.59131345,38.23481003
-85.59135278,38.23481106
-85.59138031,38.23482239
-85.59140194,38.23483681
-85.59142292,38.2348574
-85.59143865,38.23488315
-85.59144193,38.2349094
-85.59143472,38.23493875
-85.59142161,38.23496759
-85.59140522,38.2349887
-85.59138359,38.2350026
-85.59135081,38.23500826
